"商品コード","出荷実績確定日","出荷数","受注番号","出荷区分","出荷ID","届け先名"
"CPC-BR","2024/10/24","2","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"DPC-LG","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"HGC-PK","2024/10/24","2","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"HGC-TQ","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"LGC-BK","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"LGC-BL","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"LGC-CM","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"LGC-PK","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"LGC-TQ","2024/10/24","2","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"MNC-BG","2024/10/24","3","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"MNC-BL","2024/10/24","2","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"MNC-LG","2024/10/24","16","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"MNC-OG","2024/10/24","8","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"MXC-BL","2024/10/24","6","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"MXC-CM","2024/10/24","1","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"MXC-LG","2024/10/24","2","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
"PDC-BG","2024/10/24","2","9000013831(1)","工場","59940(559)","株式会社積水化成品東部 本社工場様"
